Brand,Price,Processor_brand,Threads,RAM_type,Storage_type,Graphics_brand,Graphics_integreted,Touch_screen,Operating_system,Log_Price,GPU_tier,RAM_tier,Storage_tier,Processor_gen_tier,Display_tier,ppi_tier,is_gaming,brand_tier,performance_score,display_quality
4,105990,2,14.0,4,2,2,1,1,5,11.5711000290213,4,2,2,0,1,4,0,2,14.0,8
2,149990,2,22.0,5,2,2,0,0,5,11.918323904189403,4,2,2,2,1,4,0,1,66.0,8
6,35490,0,12.0,0,2,0,0,0,5,10.477006245640542,0,1,2,0,0,2,0,1,12.0,6
6,98790,0,16.0,1,2,3,0,0,5,11.50075166403852,8,2,2,0,0,2,1,1,16.0,6
6,24790,0,2.0,4,2,0,0,0,5,10.118195625029236,0,1,2,2,0,2,0,1,6.0,6
1,154990,1,12.0,0,2,1,0,0,2,11.951115877691096,1,1,2,2,1,3,0,3,36.0,10
0,39999,0,12.0,0,2,0,0,0,5,10.596609732783568,0,2,0,0,0,2,0,1,12.0,6
4,52850,0,12.0,1,2,3,0,0,5,10.875212991298383,6,1,2,0,0,2,1,2,12.0,6
8,23990,2,8.0,2,2,2,1,0,5,10.08539235583374,4,1,2,1,0,2,0,0,16.0,6
2,80739,2,20.0,0,2,2,1,0,5,11.298977008895504,4,2,2,2,0,2,0,1,60.0,6
3,52249,2,12.0,0,2,2,1,0,5,10.863776030887928,4,2,2,2,0,2,0,2,36.0,6
4,48990,2,12.0,0,2,2,0,0,5,10.79937147463262,4,1,2,2,0,2,0,2,36.0,6
4,85990,2,16.0,0,2,3,0,0,5,11.361986289404944,7,2,0,2,0,2,1,2,48.0,6
4,81990,0,16.0,1,2,3,0,0,5,11.314352567590223,7,2,0,0,0,2,1,2,16.0,6
4,79990,2,16.0,0,2,3,0,0,5,11.289656905842868,7,2,2,2,0,2,1,2,48.0,6
6,79990,0,16.0,1,2,3,0,0,5,11.289656905842868,7,2,2,0,0,2,1,1,16.0,6
4,126499,2,24.0,1,2,3,0,0,5,11.747989681980126,8,2,0,2,0,2,1,2,72.0,6
2,74990,2,16.0,0,2,2,0,0,5,11.225110050295434,4,2,2,2,1,4,0,1,48.0,8
2,119000,2,20.0,0,2,3,0,0,5,11.686878772093667,8,2,0,2,0,0,1,1,60.0,9
8,12990,2,2.0,0,2,2,1,0,5,9.471935109664646,4,1,1,2,1,0,0,0,6.0,6
4,72490,2,16.0,0,2,2,0,0,5,11.191203900294925,4,2,2,2,1,0,0,2,48.0,6
5,49990,2,16.0,5,2,2,1,0,5,10.819578264407616,4,2,2,2,0,2,0,0,48.0,6
2,72990,2,16.0,0,2,3,0,0,5,11.198077724445678,7,2,2,2,0,2,1,1,48.0,6
3,72990,2,16.0,4,2,2,0,0,5,11.198077724445678,4,2,2,2,0,0,0,2,48.0,9
0,31990,2,8.0,0,2,2,0,0,5,10.373178632943564,4,1,2,2,0,2,0,1,24.0,6
5,25990,2,4.0,3,2,2,1,0,5,10.165467127635536,4,1,2,1,1,0,0,0,8.0,6
6,27999,2,8.0,0,2,2,1,0,1,10.239924074233857,4,1,2,2,1,0,0,1,24.0,6
2,56990,0,16.0,0,2,0,0,0,5,10.950631092829044,0,2,2,0,0,2,0,1,16.0,6
4,70490,2,16.0,0,2,2,1,0,5,11.16322613476792,4,2,2,2,0,2,0,2,48.0,6
2,114990,2,16.0,1,2,3,0,0,5,11.65260044704271,8,2,2,2,0,4,1,1,48.0,12
0,31990,0,8.0,4,2,0,0,0,5,10.373178632943564,0,1,2,0,0,2,0,1,8.0,6
4,195999,2,24.0,1,2,3,0,0,5,12.185864836158824,7,0,0,2,3,0,1,2,72.0,12
4,51990,2,12.0,0,2,2,0,0,5,10.858806671377762,4,1,2,2,0,2,0,2,36.0,6
3,93003,0,16.0,1,2,3,0,0,5,11.440387029679629,7,2,2,0,0,2,1,2,16.0,6
3,71990,2,16.0,1,2,3,0,0,5,11.184282499463349,7,2,2,2,0,2,1,2,48.0,6
4,84700,2,16.0,0,2,2,0,0,5,11.346870880640148,4,2,2,2,0,2,0,2,48.0,6
9,162990,3,12.0,5,2,2,0,1,5,12.00144412821368,4,0,0,2,0,4,0,3,36.0,12
6,96990,2,12.0,0,2,2,0,0,5,11.482363159387589,4,2,2,2,1,0,0,1,36.0,6
6,55490,2,12.0,0,2,2,1,0,5,10.923958103319949,4,1,2,2,1,0,0,1,36.0,6
2,49990,2,8.0,0,2,2,1,0,5,10.819578264407616,4,2,2,2,0,2,0,1,24.0,6
6,44990,2,8.0,0,2,2,1,0,5,10.71419552183522,4,1,2,2,1,0,0,1,24.0,6
4,74490,2,12.0,0,2,3,0,0,5,11.218420167170322,7,2,2,2,0,2,1,2,36.0,6
7,114990,2,22.0,1,2,3,0,0,5,11.65260044704271,8,2,0,2,0,2,1,2,66.0,6
7,299990,2,32.0,1,2,3,0,0,5,12.611504419749435,8,0,0,2,3,0,1,2,96.0,12
1,134900,1,12.0,0,2,1,0,0,2,11.812289042195848,1,1,2,2,1,4,0,3,36.0,8
1,174900,1,12.0,0,2,1,0,0,2,12.071969661006694,1,2,2,2,0,4,0,3,36.0,12
8,18990,2,2.0,6,2,2,0,0,5,9.85166780380633,4,1,1,2,0,2,0,0,6.0,6
4,105990,2,24.0,1,2,3,0,0,5,11.5711000290213,7,2,0,2,0,0,1,2,72.0,9
9,138990,2,12.0,4,2,2,0,1,5,11.842157267078804,4,2,0,2,0,2,0,3,36.0,6
9,163990,2,22.0,5,2,2,0,1,5,12.007560729337492,4,2,2,2,0,4,0,3,66.0,12
9,114990,2,12.0,4,2,2,0,1,5,11.65260044704271,4,2,2,2,0,2,0,3,36.0,6
3,64990,2,16.0,0,2,2,1,0,5,11.081988690888394,4,2,2,2,0,2,0,2,48.0,6
7,169990,2,22.0,4,2,3,0,0,5,12.043494890772816,8,0,0,2,0,0,1,2,66.0,9
2,139990,2,14.0,5,2,2,1,0,5,11.849326270468872,4,0,0,2,2,3,0,1,42.0,5
7,119990,2,22.0,4,2,2,1,0,5,11.695163684958434,4,2,0,2,0,0,0,2,66.0,9
9,171990,2,22.0,5,2,2,0,1,5,12.055191614570536,4,0,0,2,1,4,0,3,66.0,8
9,149990,2,22.0,5,2,2,0,1,5,11.918323904189403,4,2,2,2,0,4,0,3,66.0,12
